epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.77187,1.5036,4.22993,1.49282,0.0215,0.30136,0.13407,0.11595,1.00451,3.97231,1.17541,0.00012673,0.00012673,0.00012673
2,7.54761,1.11771,3.51495,1.19066,0.99762,0.09375,0.32838,0.26963,0.95072,3.54774,1.04089,0.000257555,0.000257555,0.000257555
3,10.3788,1.09875,2.7158,1.14162,0.84971,0.42737,0.76506,0.56327,0.95132,2.42103,1.02248,0.000385738,0.000385738,0.000385738
4,13.1747,1.0633,2.02703,1.10825,0.87107,0.68375,0.83654,0.5936,1.03189,1.90655,1.10381,0.00051128,0.00051128,0.00051128
5,15.8163,1.01916,1.62977,1.08536,0.89421,0.77622,0.86157,0.63636,0.95474,1.40199,1.09109,0.000634181,0.000634181,0.000634181
6,18.5962,1.00297,1.26696,1.08483,0.90593,0.90137,0.94472,0.69656,0.94611,0.90593,1.05569,0.000633983,0.000633983,0.000633983
7,21.3677,0.97688,1.04357,1.06946,0.85807,0.92791,0.96385,0.71304,0.92848,1.04912,1.07185,0.00062738,0.00062738,0.00062738
8,24.1551,0.92837,0.93714,1.04716,0.91944,0.95322,0.96252,0.73896,0.86242,0.84494,1.02856,0.000620777,0.000620777,0.000620777
9,26.9789,0.89943,0.88541,1.01163,0.92069,0.93554,0.96438,0.72757,0.87601,0.84533,1.02257,0.000614174,0.000614174,0.000614174
10,29.713,0.9061,0.84351,1.01904,0.94767,0.96995,0.9658,0.74547,0.84967,0.77352,0.99242,0.00060757,0.00060757,0.00060757
11,32.462,0.87819,0.83625,1.01831,0.95955,0.96507,0.96687,0.74448,0.81501,0.71196,0.99795,0.000600967,0.000600967,0.000600967
12,35.1776,0.87915,0.80887,1.01977,0.94887,0.97263,0.96397,0.75355,0.81528,0.68804,1.00222,0.000594364,0.000594364,0.000594364
13,37.8311,0.87572,0.79856,1.00989,0.96119,0.9766,0.96607,0.74592,0.82591,0.69042,1.0059,0.00058776,0.00058776,0.00058776
14,40.4211,0.85837,0.7663,0.98957,0.96407,0.97538,0.96642,0.75411,0.80017,0.68061,1.00382,0.000581157,0.000581157,0.000581157
15,43.1474,0.86212,0.76996,1.02499,0.95684,0.97112,0.96678,0.75121,0.82734,0.71429,1.01808,0.000574554,0.000574554,0.000574554
16,45.8877,0.85059,0.74336,1.00686,0.96481,0.97477,0.97037,0.75394,0.81337,0.6729,1.00204,0.00056795,0.00056795,0.00056795
17,48.6646,0.87102,0.70853,0.99938,0.95678,0.98037,0.97051,0.75508,0.81389,0.65661,0.98953,0.000561347,0.000561347,0.000561347
18,51.4794,0.84514,0.71392,0.99579,0.96176,0.97879,0.97136,0.76708,0.81928,0.67025,0.98585,0.000554744,0.000554744,0.000554744
19,54.1066,0.84757,0.69217,1.0024,0.9634,0.97719,0.97286,0.76543,0.78629,0.62959,0.98075,0.000548141,0.000548141,0.000548141
20,56.7413,0.81852,0.68761,0.98785,0.96267,0.97818,0.97369,0.75707,0.78934,0.61933,0.98533,0.000541537,0.000541537,0.000541537
21,59.4603,0.81254,0.67721,0.97856,0.96433,0.97824,0.9729,0.76371,0.79452,0.61595,0.97901,0.000534934,0.000534934,0.000534934
22,62.163,0.8225,0.66579,0.99863,0.96539,0.97494,0.97203,0.75834,0.80143,0.62045,0.97703,0.000528331,0.000528331,0.000528331
23,64.8126,0.81483,0.68598,0.98464,0.96216,0.97723,0.97455,0.76395,0.78629,0.60414,0.97563,0.000521727,0.000521727,0.000521727
24,67.5224,0.83388,0.65558,0.98361,0.96625,0.97732,0.97624,0.76758,0.77285,0.59584,0.96636,0.000515124,0.000515124,0.000515124
25,70.2056,0.80908,0.6493,0.9795,0.96083,0.97719,0.97688,0.76783,0.77528,0.59587,0.96504,0.000508521,0.000508521,0.000508521
26,72.8487,0.79216,0.63664,0.96361,0.96443,0.97589,0.97749,0.76443,0.7667,0.58688,0.97747,0.000501917,0.000501917,0.000501917
27,75.4649,0.80032,0.64767,0.98789,0.96412,0.97719,0.97694,0.76421,0.77564,0.58903,0.97472,0.000495314,0.000495314,0.000495314
28,78.2458,0.79773,0.62927,0.97246,0.96519,0.97818,0.97411,0.75869,0.78832,0.60905,0.98322,0.000488711,0.000488711,0.000488711
29,80.9173,0.78826,0.6501,0.97818,0.96644,0.97628,0.97017,0.76438,0.78414,0.58915,0.97627,0.000482108,0.000482108,0.000482108
30,83.7083,0.79872,0.63307,0.98779,0.96281,0.97499,0.97215,0.77134,0.77284,0.56632,0.96023,0.000475504,0.000475504,0.000475504
31,86.3935,0.81833,0.62993,0.97943,0.96398,0.97586,0.97252,0.76437,0.78453,0.5708,0.96476,0.000468901,0.000468901,0.000468901
32,89.0999,0.78154,0.61501,0.9675,0.96514,0.97691,0.97253,0.76386,0.78193,0.56596,0.96955,0.000462298,0.000462298,0.000462298
33,91.7472,0.78761,0.61135,0.97704,0.95923,0.97943,0.97258,0.7707,0.75331,0.55669,0.96139,0.000455694,0.000455694,0.000455694
34,94.3812,0.77834,0.59653,0.96144,0.964,0.97872,0.97242,0.7674,0.77529,0.5612,0.96236,0.000449091,0.000449091,0.000449091
35,97.0731,0.79004,0.59998,0.97569,0.96674,0.97552,0.97113,0.76739,0.76219,0.56238,0.9619,0.000442488,0.000442488,0.000442488
36,99.6472,0.79113,0.60656,0.96881,0.96793,0.97561,0.97224,0.7683,0.76792,0.55732,0.96619,0.000435884,0.000435884,0.000435884
37,102.598,0.7538,0.61182,0.95649,0.96504,0.97719,0.97271,0.77541,0.76329,0.55074,0.96393,0.000429281,0.000429281,0.000429281
38,105.342,0.75632,0.58839,0.95926,0.96595,0.97892,0.97106,0.77746,0.74246,0.53869,0.94738,0.000422678,0.000422678,0.000422678
39,108.014,0.76448,0.5907,0.97,0.96502,0.9788,0.96905,0.77663,0.74777,0.54355,0.95298,0.000416075,0.000416075,0.000416075
40,110.684,0.77684,0.59799,0.97793,0.96382,0.98052,0.97182,0.77701,0.75162,0.53777,0.95608,0.000409471,0.000409471,0.000409471
41,113.34,0.73427,0.57754,0.9585,0.96792,0.98052,0.97181,0.78064,0.74444,0.52844,0.9595,0.000402868,0.000402868,0.000402868
42,115.987,0.74947,0.59991,0.94812,0.96772,0.97922,0.97129,0.77882,0.7426,0.53011,0.96026,0.000396265,0.000396265,0.000396265
43,118.681,0.76043,0.57315,0.95548,0.96596,0.97775,0.97362,0.77498,0.74657,0.51973,0.95706,0.000389661,0.000389661,0.000389661
44,121.413,0.77404,0.60078,0.96092,0.96497,0.97879,0.97401,0.78369,0.72854,0.52029,0.95305,0.000383058,0.000383058,0.000383058
45,124.35,0.76273,0.57897,0.95103,0.96531,0.97976,0.97061,0.76858,0.76043,0.52621,0.96362,0.000376455,0.000376455,0.000376455
46,126.983,0.7507,0.557,0.95946,0.9652,0.97993,0.97119,0.76952,0.76079,0.51326,0.96528,0.000369851,0.000369851,0.000369851
47,129.612,0.729,0.56808,0.95101,0.96575,0.97719,0.96909,0.76843,0.75636,0.51742,0.96091,0.000363248,0.000363248,0.000363248
48,132.258,0.72844,0.55608,0.94927,0.96408,0.97719,0.96721,0.76998,0.75285,0.52008,0.96179,0.000356645,0.000356645,0.000356645
49,135.022,0.73742,0.56968,0.95038,0.96336,0.976,0.96929,0.77412,0.75927,0.51864,0.95904,0.000350042,0.000350042,0.000350042
50,137.738,0.7176,0.56481,0.95251,0.96296,0.97561,0.96903,0.77411,0.74063,0.51508,0.94774,0.000343438,0.000343438,0.000343438
51,140.472,0.74406,0.56254,0.96888,0.96635,0.97604,0.97061,0.7837,0.72727,0.49869,0.94291,0.000336835,0.000336835,0.000336835
52,143.193,0.74855,0.55446,0.9539,0.9645,0.97451,0.97007,0.78749,0.72026,0.49694,0.94683,0.000330232,0.000330232,0.000330232
53,145.822,0.71583,0.55323,0.95078,0.96767,0.97481,0.97009,0.78416,0.73013,0.50793,0.94825,0.000323628,0.000323628,0.000323628
54,148.437,0.72127,0.55695,0.93822,0.96766,0.97684,0.97152,0.77118,0.7659,0.52959,0.95274,0.000317025,0.000317025,0.000317025
55,151.202,0.73561,0.55865,0.95822,0.95998,0.98006,0.97138,0.78239,0.73477,0.50553,0.94658,0.000310422,0.000310422,0.000310422
56,153.84,0.71478,0.56057,0.93826,0.96596,0.97826,0.97008,0.78371,0.73112,0.5005,0.95271,0.000303818,0.000303818,0.000303818
57,156.485,0.70963,0.53161,0.93812,0.96852,0.97737,0.97067,0.78435,0.72687,0.49818,0.95256,0.000297215,0.000297215,0.000297215
58,159.077,0.7324,0.55583,0.96002,0.96876,0.97779,0.97099,0.78262,0.73668,0.49987,0.95018,0.000290612,0.000290612,0.000290612
59,161.728,0.74105,0.54786,0.95411,0.96666,0.97797,0.96928,0.7749,0.75067,0.49579,0.94438,0.000284009,0.000284009,0.000284009
60,164.476,0.71421,0.53756,0.9469,0.96754,0.97897,0.96982,0.78036,0.73948,0.49336,0.94249,0.000277405,0.000277405,0.000277405
61,167.204,0.71804,0.52994,0.93596,0.96811,0.97903,0.97061,0.77715,0.74258,0.50393,0.94498,0.000270802,0.000270802,0.000270802
62,170.1,0.70195,0.52668,0.94119,0.96856,0.97977,0.97302,0.78573,0.74053,0.49874,0.94673,0.000264199,0.000264199,0.000264199
63,172.861,0.70942,0.51787,0.94345,0.96696,0.98135,0.975,0.78017,0.74897,0.49171,0.94972,0.000257595,0.000257595,0.000257595
64,175.581,0.69247,0.51002,0.93442,0.96675,0.98131,0.97549,0.77908,0.75288,0.49363,0.95227,0.000250992,0.000250992,0.000250992
65,178.22,0.71263,0.54223,0.95404,0.96678,0.98043,0.97368,0.78146,0.74507,0.49833,0.94653,0.000244389,0.000244389,0.000244389
66,180.853,0.72387,0.52994,0.94065,0.96622,0.97794,0.97217,0.78331,0.73154,0.49035,0.94522,0.000237785,0.000237785,0.000237785
67,183.643,0.71347,0.52895,0.94359,0.96553,0.97669,0.97164,0.7844,0.72864,0.49,0.94706,0.000231182,0.000231182,0.000231182
68,186.295,0.68785,0.51844,0.9353,0.96408,0.9767,0.97041,0.78377,0.73369,0.49789,0.94632,0.000224579,0.000224579,0.000224579
69,189.064,0.69535,0.52144,0.93748,0.96749,0.9727,0.97112,0.78379,0.73044,0.49438,0.94282,0.000217976,0.000217976,0.000217976
70,191.795,0.70567,0.52512,0.93833,0.96139,0.97956,0.96964,0.78452,0.72408,0.48974,0.93683,0.000211372,0.000211372,0.000211372
71,194.433,0.70355,0.50994,0.94678,0.96196,0.97574,0.97109,0.78723,0.72866,0.48748,0.93895,0.000204769,0.000204769,0.000204769
72,197.222,0.71515,0.53213,0.95068,0.96632,0.97649,0.9726,0.78631,0.73633,0.48364,0.94319,0.000198166,0.000198166,0.000198166
73,200.076,0.68243,0.50828,0.91949,0.96713,0.97581,0.97192,0.78426,0.74048,0.48729,0.94663,0.000191562,0.000191562,0.000191562
74,202.768,0.68779,0.49978,0.93751,0.9658,0.97621,0.97254,0.77839,0.7425,0.48962,0.94785,0.000184959,0.000184959,0.000184959
75,205.461,0.68184,0.50143,0.93361,0.96556,0.9762,0.97253,0.7805,0.74502,0.48969,0.9503,0.000178356,0.000178356,0.000178356
76,208.306,0.68589,0.52075,0.94326,0.96622,0.97719,0.97171,0.78572,0.73204,0.48541,0.94061,0.000171752,0.000171752,0.000171752
77,211.074,0.69992,0.51191,0.93351,0.96824,0.97893,0.97234,0.78877,0.73559,0.48477,0.93985,0.000165149,0.000165149,0.000165149
78,213.774,0.68585,0.50586,0.92607,0.96784,0.97885,0.97231,0.7883,0.73691,0.47928,0.94161,0.000158546,0.000158546,0.000158546
79,216.474,0.68016,0.49523,0.9307,0.96485,0.9788,0.9721,0.79269,0.72875,0.46915,0.93828,0.000151943,0.000151943,0.000151943
80,219.211,0.67639,0.50043,0.92801,0.96596,0.97406,0.97136,0.79089,0.72994,0.46951,0.9403,0.000145339,0.000145339,0.000145339
81,221.858,0.68497,0.49979,0.93363,0.96601,0.97474,0.96994,0.78582,0.73573,0.47452,0.94453,0.000138736,0.000138736,0.000138736
82,224.515,0.68186,0.49429,0.93627,0.9654,0.97531,0.97016,0.7882,0.72888,0.4736,0.94396,0.000132133,0.000132133,0.000132133
83,227.468,0.66938,0.51299,0.93007,0.96713,0.9785,0.97028,0.78978,0.732,0.46874,0.94546,0.000125529,0.000125529,0.000125529
